newProc,STAR_procName,navaid_name,lat,long,GPSVis_NODE,GPSVis_TRACK,Xcoord_meters,Ycoord_meters
1,TRTLL_THREE.TRTLL.TONIE,TRTLL,41.3705,-88.61166667,"W, ,TRTLL,nav,41.3705,-88.6116666666667, ,lime","T,1, , ,41.3705,-88.6116666666667,TRTLL_THREE.TRTLL.TONIE,blue",-58582.22019,-67542.7836
0,TRTLL_THREE.TRTLL.TONIE,HIHRY,41.61516667,-88.32033333,"W, ,HIHRY,nav,41.6151666666667,-88.3203333333333, ,lime","T,0, , ,41.6151666666667,-88.3203333333333, , ",-34436.28043,-40367.33154
0,TRTLL_THREE.TRTLL.TONIE,RINNO,41.8055,-88.09333333,"W, ,RINNO,nav,41.8055,-88.0933333333333, ,lime","T,0, , ,41.8055,-88.0933333333333, , ",-15622.33923,-19226.75573
0,TRTLL_THREE.TRTLL.TONIE,JORJO,41.8845,-87.9885,"W, ,JORJO,nav,41.8845,-87.9885, ,lime","T,0, , ,41.8845,-87.9885, , ",-6933.669166,-10452.12078
0,TRTLL_THREE.TRTLL.TONIE,MONKZ,41.88433333,-87.80183333,"W, ,MONKZ,nav,41.8843333333333,-87.8018333333333, ,lime","T,0, , ,41.8843333333333,-87.8018333333333, , ",8537.41344,-10470.63304
0,TRTLL_THREE.TRTLL.TONIE,TONIE,41.88366667,-87.49083333,"W, ,TONIE,nav,41.8836666666667,-87.4908333333333, ,lime","T,0, , ,41.8836666666667,-87.4908333333333, , ",34313.34168,-10544.67985
0,WATSN_TWO.MZZ,WATSN,41.2835,-86.03533333,"W, ,WATSN,nav,41.2835,-86.0353333333333, ,lime","T,1, , ,41.2835,-86.0353333333333,WATSN_TWO.MZZ,blue ",154946.3435,-77205.98917
0,WATSN_TWO.MZZ,HAUPO,41.34216667,-86.54,"W, ,HAUPO,nav,41.3421666666667,-86.54, ,lime","T,0, , ,41.3421666666667,-86.54, , ",113119.167,-70689.8042
0,WATSN_TWO.MZZ,MKITA,41.4,-86.69283333,"W, ,MKITA,nav,41.4,-86.6928333333333, ,lime","T,0, , ,41.4,-86.6928333333333, , ",100452.2186,-64266.17941
0,WATSN_TWO.MZZ,PRISE,41.5355,-86.78133333,"W, ,PRISE,nav,41.5355,-86.7813333333333, ,lime","T,0, , ,41.5355,-86.7813333333333, , ",93117.268,-49216.01441
0,WATSN_TWO.MZZ,HULLS,41.65666667,-86.79333333,"W, ,HULLS,nav,41.6566666666667,-86.7933333333333, ,lime","T,0, , ,41.6566666666667,-86.7933333333333, , ",92122.69842,-35757.87141
0,WATSN_TWO.MZZ,STYLE,41.774,-86.80833333,"W, ,STYLE,nav,41.774,-86.8083333333333, ,lime","T,0, , ,41.774,-86.8083333333333, , ",90879.48645,-22725.50258
0,WATSN_TWO.MZZ,DWEEB,41.86583333,-86.8295,"W, ,DWEEB,nav,41.8658333333333,-86.8295, ,lime","T,0, , ,41.8658333333333,-86.8295, , ",89125.17594,-12525.45262
0,WATSN_TWO.MZZ,VOGLR,41.945,-86.91866667,"W, ,VOGLR,nav,41.945,-86.9186666666667, ,lime","T,0, , ,41.945,-86.9186666666667, , ",81734.97116,-3732.305414
0,WATSN_TWO.MZZ,CENAK,41.99616667,-86.97533333,"W, ,CENAK,nav,41.9961666666667,-86.9753333333333, ,lime","T,0, , ,41.9961666666667,-86.9753333333333, , ",77038.39315,1950.844595
1,VEECK_TWO.VEECK.BAMBB,VEECK,41.12533333,-86.61916667,"W, ,VEECK,nav,41.1253333333333,-86.6191666666667, ,magenta","T,1, , ,41.1253333333333,-86.6191666666667,VEECK_TWO.VEECK.BAMBB,blue",106557.7702,-94773.77132
0,VEECK_TWO.VEECK.BAMBB,BOONE,41.36383333,-87.19216667,"W, ,BOONE,nav,41.3638333333333,-87.1921666666667, ,lime","T,0, , ,41.3638333333333,-87.1921666666667, , ",59067.07286,-68283.25949
0,VEECK_TWO.VEECK.BAMBB,HANNI,41.50316667,-87.359,"W, ,HANNI,nav,41.5031666666667,-87.359, ,lime","T,0, , ,41.5031666666667,-87.359, , ",45239.7933,-52807.32032
0,VEECK_TWO.VEECK.BAMBB,CLUSO,41.65466667,-87.49483333,"W, ,CLUSO,nav,41.6546666666667,-87.4948333333333, ,lime","T,0, , ,41.6546666666667,-87.4948333333333, , ",33981.81849,-35980.01406
